Iteration                Wall_Time                Samples                  Train_Return             Train_Paths              Test_Return              Test_Paths               Final_Robot_X            Final_Robot_Y            Robot_Travel_Forward     Robot_Travel_Sideways    Robot_Travel_Yaw_Deg     Max_Torque               Critic_Loss              Critic_Steps             Critic_Time_Per_Update   Actor_Loss               Actor_Entropy            Actor_Steps              
0                        0.09647992644045088      21067                    6.688404374953907        11                       2.185660580309964        1                        -0.44082669080502973     -0.14464379818674142     -0.146622505155392       -0.03408103080635721     1.8865178835548138       27.646133172127666       0.04189259728720022      10320                    0.05878584262474563      -1.1561172840207121      -5.738201289213905       516                      
10                       1.8675609842936198       26645                    5.476389176818589        406                      6.324904003469541        2                        -0.2973556550203867      0.45401463175494033      0.058925874036503956     0.10561171983583616      -13.943576781798223      35.5                     0.013470001220703125     113980                   0.058524567376999626     -1.1109408714657738      -5.738202659970238       5699                     
20                       3.663999160528183        32137                    8.571899070705546        624                      11.566848959645585       3                        0.30793191329073594      0.43597938212500803      0.016873059483865898     0.16302772611379623      4.0892469501792466       31.44860928215841        0.015903833921647556     219460                   0.05858473046209367      -1.5430344107411045      -5.738204984259474       10973                    
30                       5.7630347000228035       37637                    10.0548142411417         741                      10.95120695159036        4                        0.5923974058290292       0.3866748753330231       0.2111986635083502       0.03207831821848892      -7.503116931841692       29.358300216818687       0.019053277004970594     327120                   0.12457217290606838      -1.770402658298221       -5.738203984521301       16356                    
40                       9.689826111396155        43169                    13.277125664202432       855                      15.363060384895943       5                        0.5071465824829656       0.20761631702283817      0.17413016984408553      0.05596241253343495      -4.247716456890049       28.179567756817388       0.024893721147017045     435480                   0.12425665571472862      -1.9765261008522728      -5.738206232244318       21774                    
50                       13.00384668595261        48686                    12.176857680473148       968                      14.49527274789026        6                        1.010478239791709        -0.36821861847415477     0.25328003259545023      0.008192490447651257     -4.738977235029664       35.5                     0.030185020490208433     543560                   0.06216317008070973      -2.0330798965251424      -5.738202958224621       27178                    
60                       14.856981685691409       54204                    13.334306927750566       1080                     13.948497201149047       7                        0.6409775960707443       0.46208950382632424      0.3659231418913061       0.16554652560840954      8.924982589370215        30.8935034645651         0.03563142811168324      651680                   0.058794603911313144     -2.1169728781960226      -5.738206232244318       32584                    
70                       16.727848157154188       59766                    12.731397770501955       1194                     17.359140154391486       8                        0.6543919509212847       0.2561587543014708       0.33904500314119185      0.036531571129506286     -2.8196302266024684      32.273511647139294       0.04234427558051215      760640                   0.05848650168489527      -2.223647054036458       -5.738204843026621       38032                    
80                       18.577038637068537       65269                    13.828154648834747       1304                     18.25329199466871        9                        0.7145299528085477       0.32584961206986607      0.4825917170806365       0.12870087745514783      -5.360393192316976       35.5                     0.049577481583009626     868500                   0.0588388585203875       -2.279617337879754       -5.738204701269712       43425                    
