Iteration                Wall_Time                Samples                  Train_Return             Train_Paths              Test_Return              Test_Paths               Final_Robot_X            Final_Robot_Y            Robot_Travel_Forward     Robot_Travel_Sideways    Robot_Travel_Yaw_Deg     Max_Torque               Critic_Loss              Critic_Steps             Critic_Time_Per_Update   Actor_Loss               Actor_Entropy            Actor_Steps              
100                      5.941997502247492        76150                    13.713247194604739       1576                     15.79968252799763        11                       0.6996871118486523       0.2833154729218754       0.29655575038244325      0.06218024940850834      1.2607650287269194       30.80159456714419        0.059350596836635044     1080220                  0.018293347592864717     -2.525154985700335       -5.738207571847099       54011                    
110                      6.537924926148521        81667                    13.228924095295161       1686                     14.62593621542905        12                       0.6299574992726082       0.29562917533209         0.30930097130211914      0.040269151160662826     7.470235430557835        32.7404787042767         0.06526822586341098      1188360                  0.01825696359701262      -2.5488844304946956      -5.738205124971172       59418                    
120                      7.129071541693476        87154                    14.47921091620749        1796                     18.511449529531358       13                       0.6370242040863703       0.159021462923828        0.3832569853826003       0.0710893527879803       -4.686321275117104       30.3193511653543         0.06879229357013594      1295900                  0.01818542056164499      -2.5692000739318503      -5.738203547993173       64795                    
130                      7.728426843086878        92735                    14.86019882992876        1907                     15.358940638837632       14                       0.5455240794922096       0.18038729253615096      0.39388638057492         0.031872387499209835     -0.8192563694446835      32.607906462574164       0.07505148037997159      1405300                  0.018176368301564997     -2.6240693803267043      -5.738206232244318       70265                    
140                      8.325246814092           98286                    15.008088584976507       2017                     17.456666533479144       15                       0.8171815907923152       0.14888268114424638      0.6154524873603474       0.036900314248420975     -8.694600305081932       30.012413487473925       0.0802178788618608       1514120                  0.01826200632615523      -2.6630954811789773      -5.738206232244318       75706                    
150                      8.92503667553266         103835                   14.734146743396797       2127                     19.972242526569644       16                       0.896885286670351        0.26759789783682186      0.6059214120561426       0.08889128200032494      -6.517515916649611       30.117821237279735       0.08732209613332075      1622900                  0.018327450774416162     -2.690339382696329       -5.738204558985827       81145                    
160                      9.49560569776429         109410                   14.986095061354188       2238                     17.467499333553434       17                       0.9507883652441749       0.19015941736743713      0.4998403096740896       0.07083544389090755      2.0033345720240208       32.30518955981703        0.09424307528409091      1732180                  0.016799157402732155     -2.7231425337357953      -5.738206232244318       86609                    
170                      10.043384280602137       114942                   14.36785829206164        2348                     19.646236923394802       18                       0.6263646147598197       0.2475851009179235       0.420394012873823        0.07903668826276605      -6.8492105477191245      33.359584981940735       0.10065883187686696      1840620                  0.01672859318992671      -2.7196195265826058      -5.738205404842601       92031                    
180                      10.584192386070887       120423                   14.724338014925017       2458                     16.83197448964875        19                       1.0244685345143458       0.3363742675952435       0.5707009041851218       0.06332306961782953      1.1185696272497971       31.654230731960364       0.10738037109375         1948040                  0.01680654005570845      -2.7243672318892047      -5.738206232244318       97402                    
190                      11.133754797180494       125927                   14.500428569465583       2569                     21.528428759284488       20                       0.9123917383942376       0.2721664920149716       0.5334216193719343       0.1044308804822239       -5.482332318556953       32.84482310095079        0.11263659856494329      2055900                  0.016675759673578858     -2.738036638061052       -5.738201597942809       102795                   
200                      11.679851419859462       131498                   16.217164689831552       2679                     20.155334401432768       21                       0.9775912686691628       0.316846228590317        0.4980763681232929       0.1039256190627136       2.22083235862211         34.83746112416148        0.11674736993963068      2165120                  0.01682697332989086      -2.792041681463068       -5.738206232244318       108256                   
210                      12.231747083332804       137071                   15.103935985966165       2789                     16.95214969478587        22                       0.8349739672280921       0.21897638574850242      0.5733336139131676       0.05242897534811742      2.805443267005252        35.45595088074668        0.12329376775568182      2274380                  0.016634682807055386     -2.8170478959517045      -5.738206232244318       113719                   
220                      12.782384678522746       142609                   17.046780615150848       2899                     17.711396037957506       23                       0.7970310322948176       0.21955651292058814      0.433404693972658        0.10569971850649877      1.5414735677651805       31.041801566866763       0.12757091876742566      2382940                  0.016676006108854783     -2.847292534923908       -5.738204558985827       119147                   
230                      13.338385933770073       148137                   14.791284561460644       3009                     20.61194922219436        24                       0.882744159043324        0.44491105546058246      0.5196110565554012       0.10817834108390591      -2.2087070302487954      34.15416255732209        0.13354711679311898      2491300                  0.016812980404266945     -2.888036170372596       -5.738201904296875       124565                   
240                      13.888520728084776       153714                   16.55404346897413        3120                     22.36944100080457        25                       0.7953068354333493       0.4318208984524846       0.4871215576475317       0.0809245766563849       -3.913931724710695       29.84905515953626        0.1396338743322036       2600620                  0.016743724617887947     -2.9193083819221046      -5.738205404842601       130031                   
250                      14.462291290693813       159230                   16.247694211302697       3230                     18.282142278317686       26                       0.9727049745440078       0.30870648762761255      0.625522100112655        0.13561904362656854      -0.7852360702036708      30.153060566291973       0.14514388187224095      2708740                  0.02045305601726234      -2.901361061294726       -5.738204558985827       135437                   
260                      15.13796621090836        164737                   15.731390813994977       3340                     18.514113031357024       27                       0.7970869524360942       0.3273088061335196       0.5580295730720867       0.11194268561137671      -3.4964468237866884      35.5                     0.15233095050294757      2816680                  0.021600347211509396     -2.9195169861063417      -5.738205682663691       140834                   
270                      16.039324912693765       170328                   16.840586743114322       3450                     18.568900075471525       28                       0.9163023217349172       0.2572857396501343       0.6163850291208788       0.09181203760884026      -6.643052812303996       35.5                     0.1581407470703125       2926300                  0.025336208126761697     -2.9289382102272725      -5.738206232244318       146315                   
280                      17.0408041897085         175920                   17.047890943615936       3560                     20.87935173828585        29                       0.7678859008361363       0.244185711844627        0.5320210294290022       0.11645121449096636      -5.072970183374152       32.177355251196836       0.16369900298734433      3035940                  0.03357628630096182      -2.9590150051891144      -5.738205124971172       151797                   
290                      18.165988494621384       181539                   17.78347921478262        3671                     19.65705638277943        30                       0.8978575841864932       0.2748351079186626       0.578974498943849        0.05456136768175797      -3.626787039058772       31.414188629991152       0.1712955877130682       3146100                  0.026735309990969573     -3.025691805752841       -5.738206232244318       157305                   
300                      18.900277621414926       187074                   16.697139441267243       3781                     18.532145555553623       31                       0.9189937796867053       0.2916978734596791       0.5564126114953648       0.10728198289871216      -0.5041279135923058      35.5                     0.17873527170341705      3254600                  0.02148420365057259      -3.051420579001168       -5.738204128942757       162730                   
